"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"LANDMARC Localization Algorithm Based on Weight Optimization*","B. Hu; H. Peng; Z. Sun","Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Ministry of Education, Nanjing University of Posts and Telecommunications, Nanjing, China; Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Ministry of Education, Nanjing University of Posts and Telecommunications, Nanjing, China; Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Ministry of Education, Nanjing University of Posts and Telecommunications, Nanjing, China",Chinese Journal of Electronics,"24 Jan 2025","2018","27","6","1291","1296","In order to solve the problem that the difference of Received signal strength (RSS) between tags will become large when tags are close to the reader, which exists in LANDMARC system, a LANDMARC localization algorithm based on weight optimization is proposed in the paper. We optimize the weight by redefining the formulas of in-weight and ex-weight. In-weight formula is discussed under the free space propagation model. The definition of ex-weight is obtained by analyzing the relationship between RSS and distance under the log-distance path loss model. We evaluate the performance of the proposed algorithm and compare it with the algorithm based on normalized weight. The simulation results show the superior performance of the proposed algorithm in terms of location accuracy.","2075-5597","","10.1049/cje.2017.08.011","National Natural Science Foundation of China(grant numbers:61373135,61672299); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10852223","Location identification based on dynamic active RFID calibration (LANDMARC) system;Radio frequency identification (RFID);Indoor localization;Weight optimization","Location awareness;Analytical models;Accuracy;Active RFID tags;Heuristic algorithms;Simulation;Aerospace electronics;Propagation losses;Calibration;Optimization","","1","","20","","24 Jan 2025","November 2018","","CIE","CIE Journals"
"Sensor Fusion for Tour-Guide Robot Localization","B. P. E. Alvarado Vasquez; R. Gonzalez; F. Matia; P. De La Puente","Centre for Automation and Robotics, Universidad Politecnica de Madrid, Madrid, Spain; Escuela Técnica Superior de Ingenieros Industriales, Universidad Politecnica de Madrid, Madrid, Spain; Centre for Automation and Robotics, Universidad Politecnica de Madrid, Madrid, Spain; Centre for Automation and Robotics, Universidad Politecnica de Madrid, Madrid, Spain",IEEE Access,"26 Dec 2018","2018","6","","78947","78964","Doris, the social robot girl, is under development to be employed in museums and trade fairs as a tour guide. External sensorial information must be inputted so that Doris moves around each new location by using landmark identification points that can improve the real localization of the robot in combination with an extended Kalman filter. Doris is equipped with a semantic map that contains several information points such as the building structure, sites that the robot must pass, features (obstacles) of the built environment, and landmark locations. Three additional sensors were installed on Doris: a laser range finder LMS-200, an omnidirectional Mobotix C25 camera, and an RFID system Speedway Revolution 220 by Impinj. The use of these sensors implies the use of different types of landmarks: 35-cm-high circular landmarks, placed on the ground and covered with a reflective laser-detectable material; markers similar to QR codes placed at 250 cm above the ground level that the omnidirectional camera can identify; and RFID detectable dogbone antennas. One contribution is to prove a simple methodology of localization by using sensor fusion with a semantic map, without mapping the whole environment by creating a point cloud map and without using the SLAM technique. Additionally, another contribution for the research is to define a good methodology for a precise sensors calibration. The initial results showed that each sensor functions efficiently, when using only the laser and the camera, due to the low accuracy of the RFID system alone. The final results show the behavior of the robot localization in the presence of people and different objects when both sensors are working at the same time. Occlusions may affect the reflective landmarks or visual markers. Therefore, the sensor fusion is implemented to achieve better robustness in the location estimation.","2169-3536","","10.1109/ACCESS.2018.2885648","DPI2017-86915-C3-3-R project COGDRIVE: Técnicas de Inteligencia Artificial y Ayuda a la Navegación Autónoma; DPI 2014-53525-C3-1-R project NAVEGASE: Navegación Asistida Mediante Lenguaje Natural; Spanish Ministry of the Economy and Competitiveness; RoboCity2030-III-CM project Robótica aplicada a la mejora de la calidad de vida de los ciudadanos, fase III; Comunidad de Madrid; EU Structural Funds(grant numbers:S2013/MIT-2748); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8573764","State estimation;extended Kalman filter;indoor localization;sensor fusion;laser localization;visual localization;RFID localization;social robotics","Radiofrequency identification;Sensor fusion;Simultaneous localization and mapping;Kalman filters;Cameras","","18","","34","OAPA","12 Dec 2018","2018","","IEEE","IEEE Journals"
"Optimal Target Tracking Based on Dynamic Fingerprint in Indoor Wireless Network","C. Wang; J. Luo; Y. Zheng","College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China",IEEE Access,"23 Dec 2018","2018","6","","77226","77239","Indoor target tracking is a crucial application of indoor localization systems. Wi-Fi fingerprint-based target tracking/positioning has been extensively studied due to its deployability under pervasive indoor wireless local area networks. However, the majority of fingerprint-based schemes adopted the static radio map and did not make full use of continuous motion information of the target. Therefore, we build a ubiquitous indoor tracking/localization system that can maintain a dynamic fingerprint database at low cost in this paper. First, we propose an optimal target tracking algorithm exploiting the historical data of the target location information to help improve the accuracy, which adopts a modified particle filter algorithm to reduce the number of samples and computing overhead. Second, we present a database self-update method according to trajectory continuity, which is employed to update fingerprint database dynamically for keeping the system robust. Finally, we tested the optimal target tracking based on dynamic fingerprint algorithm (OTTDF) in a complex laboratory area with diverse target motion conditions and various obstacles, our experimental results indicate that the OTTDF scheme successfully handles complex indoor structure, including different target motion state, signal fingerprint changes caused by obstacles, simultaneously provides better performance in localization cost, and localization/tracking accuracy in indoor wireless network.","2169-3536","","10.1109/ACCESS.2018.2880247","National Natural Science Foundation of China(grant numbers:61672220); Key Scientific and Technological Research and Development Plan of Hunan Province(grant numbers:2017GK2030); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8556370","Dynamic fingerprint database;indoor tracking;particle filter;received signal strength;Wi-Fi","Target tracking;Databases;Heuristic algorithms;Wireless fidelity;Wireless networks;Dynamics","","10","","33","OAPA","2 Dec 2018","2018","","IEEE","IEEE Journals"
"Indoor Positioning Based on Fingerprint-Image and Deep Learning","W. Shao; H. Luo; F. Zhao; Y. Ma; Z. Zhao; A. Crivello","Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; School of Software Engineering, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Computer Science, University of Bern, Bern, Switzerland; Institute of Information Science and Technologies, Consiglio Nazionale delle Ricerche, Pisa, Italy",IEEE Access,"17 Dec 2018","2018","6","","74699","74712","Wi-Fi and magnetic field fingerprinting have been a hot topic in indoor positioning researches because of their ubiquity and location-related features. Wi-Fi signals can provide rough initial positions, and magnetic fields can further improve the positioning accuracies, therefore many researchers have tried to combine the two signals for high-accuracy indoor localization. Currently, state-of-the-art solutions design separate algorithms to process different indoor signals. Outputs of these algorithms are generally used as inputs of data fusion strategies. These methods rely on computationally expensive particle filters, labor-intensive feature analysis, and time-consuming parameter tuning to achieve better accuracies. Besides, particle filters need to estimate the moving directions of particles, limiting smartphone orientation to be stable, and aligned with the user's moving directions. In this paper, we adopted a convolutional neural network (CNN) to implement an accurate and orientation-free positioning system. Inspired by the state-of-the-art image classification methods, we design a novel hybrid location image using Wi-Fi and magnetic field fingerprints, and then a CNN is employed to classify the locations of the fingerprint images. In order to prevent the overfitting problem of the positioning CNN on limited training datasets, we also propose to divide the learning process into two steps to adopt proper learning strategies for different network branches. We show that the CNN solution is able to automatically learn location patterns, thus significantly lower the workforce burden of designing a localization system. Our experimental results convincingly reveal that the proposed positioning method achieves an accuracy of about 1 m under different smartphone orientations, users, and use patterns.","2169-3536","","10.1109/ACCESS.2018.2884193","National Basic Research Program of China (973 Program)(grant numbers:2018YFB0505200); National Natural Science Foundation of China(grant numbers:61872046); BUPT Excellent Ph.D. Students Foundation(grant numbers:CX2017404); Open Project of the Beijing Key Laboratory of Mobile Computing and Pervasive Device; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554268","Indoor positioning;indoor localization;neural networks;fingerprint;feature extraction","Wireless fidelity;Magnetic fields;Fingerprint recognition;Training;Probabilistic logic;Image matching","","100","","47","OAPA","30 Nov 2018","2018","","IEEE","IEEE Journals"
"Multi-Sensor Multi-Floor 3D Localization With Robust Floor Detection","Y. Li; Z. Gao; Z. He; P. Zhang; R. Chen; N. El-Sheimy","Department of Geomatics Engineering, University of Calgary, Calgary, AB, Canada; School of Land Science and Technology, China University of Geosciences Beijing, Beijing, China; Department of Geomatics Engineering, University of Calgary, Calgary, AB, Canada; State Key Laboratory of Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; Department of Geomatics Engineering, University of Calgary, Calgary, AB, Canada",IEEE Access,"19 Dec 2018","2018","6","","76689","76699","Location has become an essential part of the next-generation Internet of Things systems. This paper proposes a multi-sensor-based 3D indoor localization approach. Compared with the existing 3D localization methods, this paper presents a wireless received signal strength (RSS)-profile-based floor-detection approach to enhance RSS-based floor detection. The profile-based floor detection is further integrated with the barometer data to gain more reliable estimations of the height and the barometer bias. Furthermore, the data from inertial sensors, magnetometers, and a barometer are integrated with the RSS data through an extend Kalman filter. The proposed multi-sensor integration algorithm provided more robust and smoother floor detection and 3D localization solutions than the existing methods.","2169-3536","","10.1109/ACCESS.2018.2883869","National Natural Science Foundation of China(grant numbers:41804027); Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8552666","Internet of Things;indoor localization;wireless received signal strength;inertial navigation;magnetometer sensor;barometer;3D;floor detection","Three-dimensional displays;Wireless communication;Wireless sensor networks;Magnetometers;Sensors;Motion measurement;Predictive models","","59","","49","OAPA","29 Nov 2018","2018","","IEEE","IEEE Journals"
"SAP: A Novel Stationary Peers Assisted Indoor Positioning System","C. Cai; X. Ma; M. Hu; Y. Yang; Z. Li; J. Liu","School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Information Engineering, Hubei University, Wuhan, China; School of Information Engineering, Xiangtan University, Xiangtan, China; College of Natural Resources and Environment, South China Agricultural University, Guangzhou, China",IEEE Access,"19 Dec 2018","2018","6","","76475","76489","Recent years have witnessed significant advances in indoor positioning. Existing approaches either require cumbersome site surveys or customized hardware, thus hindering their popularity. In this paper, we propose Stationary peers-Assisted indoor Positioning (SAP), a practical indoor positioning solution that is highly scalable and easy-to-deploy. SAP greatly alleviates the pain of fingerprint collection by smartly leveraging the relatively stationary people, namely stationary peers that are largely available in common indoor environments to assist positioning. Once SPs’ locations and the relative distance between SPs and a target are obtained, SAP can apply trilateration to locate the target. SAP incorporates three key modules: a novel accelerometer-based filter that can accurately identify SP, an enhanced fingerprint-based positioning method that can accurately pinpoint SPs’ locations, and a robust acoustic ranging method. We implement a prototype of SAP on the Android platform and evaluate its performance in representative real-world environments. SAP achieves an 80% positioning error of 2.2 m, which is comparable to the most existing smartphone-assisted approaches.","2169-3536","","10.1109/ACCESS.2018.2883800","National Natural Science Foundation of China(grant numbers:91538203,61702204,61871436,61502193,61471408,61671216,61872415,61872416); Fundamental Research Funds for the Central Universities(grant numbers:2016YXMS293); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8550628","Indoor positioning;Wi-Fi fingerprint;peer assistance","Acoustics;Meters;Wireless fidelity;Distance measurement;Indoor environments;Smart phones;Hardware","","9","","68","OAPA","28 Nov 2018","2018","","IEEE","IEEE Journals"
"A New Algorithm for Indoor RSSI Radio Map Reconstruction","W. Xue; Q. Li; X. Hua; K. Yu; W. Qiu; B. Zhou","Department of Shenzhen Key Laboratory of Spatial Smart Sensing and Services, Shenzhen University, Shenzhen, China; Department of Shenzhen Key Laboratory of Spatial Smart Sensing and Services, Shenzhen University, Shenzhen, China; School of Geodesy and Geomatics and the Collaborative Innovation Center for Geospatial Technology, Wuhan University, Wuhan, China; School of Environmental Science and Spatial Informatics, China University of Mining and Technology, Xuzhou, China; School of Geodesy and Geomatics and the Collaborative Innovation Center for Geospatial Technology, Wuhan University, Wuhan, China; Department of Shenzhen Key Laboratory of Spatial Smart Sensing and Services, Shenzhen University, Shenzhen, China",IEEE Access,"18 Dec 2018","2018","6","","76118","76125","This paper proposes an empirical model of RSSI radio map in order to improve the indoor positioning accuracy of Wi-Fi RSSI. First, the signal feature point in RSSI space is proposed based on the indoor RSSI map, which is similar to the geomorphic feature point in a topographic map. Then, we utilize a small amount of the grid points in geometric space to fill the RSSI grid network by using the theory of low rank matrix. Finally, a new algorithm for indoor RSSI radio map reconstruction has been proposed. Both the grid point in geometric space and the signal feature point in RSSI space have been utilized in the reconstruction of the RSSI empirical model, and different types of feature points have been weighted based on their corresponding positioning accuracy. The proposed algorithm was tested by experiments conducted within a room, and the results indicate that the proposed method significantly outperforms the traditional grid network algorithm.","2169-3536","","10.1109/ACCESS.2018.2882379","National Key R&D Program of China(grant numbers:2016YFB0502204); National Natural Science Foundation of China(grant numbers:41674005,41374011,91546106,41701519,41574031,41730109); Natural Science Foundation of Guangdong Province(grant numbers:2017A030310544); State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing(grant numbers:16I02); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543591","Empirical model;RSSI radio map;the signal feature point;the grid point","Matrix decomposition;Fingerprint recognition;Databases;Sparse matrices;Sensors;Wireless fidelity","","24","","22","OAPA","23 Nov 2018","2018","","IEEE","IEEE Journals"
"Indoor Localization Using K-Pairwise Light Emitting Diode Image-Sensor-Based Visible Light Positioning","J. -K. Lain; L. -C. Chen; S. -C. Lin","Department of Electronic Engineering, National Yunlin University of Science and Technology, Yunlin, Taiwan; Department of Electronic Engineering, National Yunlin University of Science and Technology, Yunlin, Taiwan; Department of Electronic Engineering, National Yunlin University of Science and Technology, Yunlin, Taiwan",IEEE Photonics Journal,"27 Nov 2018","2018","10","6","1","9","A great deal of research has been devoted to studying indoor localization schemes for the development of location-based services. This study investigated an indoor localization system, including subsystems of nonline-of-sight (NLOS) image-sensor-based visible light communications (IS-VLCs) and the proposed  $K$-pairwise light-emitting diode (LED) image-sensor-based visible light positioning (IS-VLP), in a unified lighting environment. A smartphone received multiple LED identifiers through the designed NLOS IS-VLC and successfully performed the proposed  $K$-pairwise LED IS-VLP with $K = 3$  to achieve localization, with maximum localization errors of 2.92 and 3.54 cm being obtained for ceiling heights of 100 and 150 cm, respectively.","1943-0655","","10.1109/JPHOT.2018.2881239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8542701","Image-sensor-based visible light positioning (VLP);light emitting diode (LED);visible light communications (VLC)","Light emitting diodes;Image sensors;Cameras;Lighting;Gray-scale;Receivers;Optical imaging","","16","","12","OAPA","21 Nov 2018","Dec. 2018","","IEEE","IEEE Journals"
"P3-LOC: A Privacy-Preserving Paradigm-Driven Framework for Indoor Localization","P. Zhao; H. Jiang; J. C. S. Lui; C. Wang; F. Zeng; F. Xiao; Z. Li","College of Information Science and Technology, Donghua University, Shanghai, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; Computer Science and Engineering Department, The Chinese University of Hong Kong, Hong Kong; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; Jiangsu High Technology Research Key Laboratory for Wireless Sensor Networks, Nanjing University of Posts and Telecommunications, Nanjing, China; College of Information Engineering, Xiangtan University, Xiangtan, China",IEEE/ACM Transactions on Networking,"14 Dec 2018","2018","26","6","2856","2869","Indoor localization plays an important role as the basis for a variety of mobile applications, such as navigating, tracking, and monitoring in indoor environments. However, many such systems cause potential privacy leakage in data transmission between mobile users and the localization server (LS). Unfortunately, there has been little research done on privacy issue, and the existing privacy-preserving solutions are algorithm-driven, each designed for specific localization algorithms, which hinders their wide-scale adoption. Furthermore, they mainly focus on users’ location privacy, while the LS’s data privacy cannot be guaranteed. In this paper, we propose a Privacy-Preserving Paradigm-driven framework for indoor LOCalization (P3-LOC). P3-LOC takes the advantage that most indoor localization systems share a common two-stage localization paradigm: information measurement and location estimation. Based on this, P3-LOC carefully perturbs and cloaks the transmitted data in these two stages and employs specially designed “ $k$ -anonymity” and “differential privacy” techniques to achieve the provable privacy preservation. The key advantage is that P3-LOC does not rely on any prior knowledge of the underlying localization algorithms, and it guarantees both users’ location privacy and the LS’s data privacy. Our extensive experiments from the measured data have validated that P3-LOC provides privacy preservation for general indoor localization techniques. In addition, P3-LOC is comparable with the state-of-the-art algorithm-driven techniques in terms of localization error, computation, and communication overhead.","1558-2566","","10.1109/TNET.2018.2879967","National Natural Science Foundation of China(grant numbers:61872416,61572219,61872416,61502192,61732017,61671216,61471408,51479159,91538203,41701479); Donghua University; Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8542955","Privacy;indoor localization;k-anonymity;differential privacy;paradigm-driven","Data privacy;Privacy;Databases;Servers;Estimation;IEEE transactions;Navigation","","67","","39","IEEE","21 Nov 2018","Dec. 2018","","IEEE","IEEE Journals"
"A Tilt Receiver Correction Method for Visible Light Positioning Using Machine Learning Method","T. Yuan; Y. Xu; Y. Wang; P. Han; J. Chen","South China Normal University, Guangzhou, China; South China Normal University, Guangzhou, China; South China Normal University, Guangzhou, China; South China Normal University, Guangzhou, China; South China Normal University, Guangzhou, China",IEEE Photonics Journal,"29 Nov 2018","2018","10","6","1","12","In recent years, a visible light positioning (VLP) technology based on complementary metal-oxide-semiconductor sensors has been widely studied due to its high precision and high robustness. However, the existing VLP algorithm based on image sensors often fails to achieve a good positioning effect when the camera is tilted. In order to solve this problem, we propose a neural network algorithm to correct the error caused by the tilt angle of the camera. Because when the tilt angle is different, the LED image captured by the camera will be different and produce different characteristics. By extracting these features and using neural networks to establish the relationship between the characteristics of the LED image and the distance between the receiving and sending terminal, we finally achieve the positioning of the camera by the triangulation algorithm. Experiments demonstrate that our positioning algorithm can achieve high-precision positioning and can be applied to most indoor positioning systems.","1943-0655","","10.1109/JPHOT.2018.2880872","National Natural Science Foundation of China(grant numbers:61371176); Science and Technology Project of Guangzhou China(grant numbers:201704020137,201707010485); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8532113","Neural network algorithm;tilt angle;visible light positioning","Light emitting diodes;Cameras;Feature extraction;Image sensors;Neural networks;Machine learning;Sensors","","28","","13","OAPA","11 Nov 2018","Dec. 2018","","IEEE","IEEE Journals"
