"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Indoor localization based on optimization via visible light","Jianmei Huang; Jianfei Dong; Cheng Guo; Guoqi Zhang","Beijing Research Centre of Delft University of Technology, Beijing, P R China; Beijing Research Centre of Delft University of Technology, Beijing, P R China; Beijing Research Centre of Delft University of Technology, Beijing, P R China; China's SKL of Solid State Lighting Changzhou Branch, China",2013 10th China International Forum on Solid State Lighting (ChinaSSL),"6 Aug 2015","2013","","","77","80","SSL systems are used more and more in our daily life. Because of their high reliability and controllability, SSL systems can be extended to more functionalities than conventional lighting. In this work, we propose a method to achieve accurate indoor localization by using an SSL system with multiple LED lamps. Simulation studies have verified the effectiveness and the localization accuracy achieved by the method.","","978-1-4799-2250-5","10.1109/SSLCHINA.2013.7177318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7177318","","Light emitting diodes;Instruction sets;Pulse width modulation;Receivers","","1","","5","IEEE","6 Aug 2015","10-12 Nov. 2013","10-12 Nov. 2013","IEEE","IEEE Conferences"
"Design and implementation of mobile vehicle monitoring system based on android smartphone","D. T. Ha; T. H. Pham; N. D. Khanh; V. D. Hoang","Department of Aerospace Electronics, School of Electronics and Telecommunications, Hanoi University of Science and Technology, Vietnam; Department of Aerospace Electronics, School of Electronics and Telecommunications, Hanoi University of Science and Technology, Vietnam; Department of Aerospace Electronics, School of Electronics and Telecommunications, Hanoi University of Science and Technology, Hanoi, Vietnam; Department of Aerospace Electronics, School of Electronics and Telecommunications, Hanoi University of Science and Technology, Vietnam",2013 Third World Congress on Information and Communication Technologies (WICT 2013),"1 Jun 2015","2013","","","51","56","We mainly present the design and implement a mobile vehicle monitoring system using android smartphones. Users can observe the their vehicles' information using a mobile screen anytime, anywhere. Our proposed design is composed of small the GPS/GNSS receiver terminal, modern data acquisition modem, cellular data transmission network, and the smartphone application. We comprehensively discuss the key technologies in terms of hardware and software aspects employed in the system including posible indoor positioning wireless technologies. The designed system in the paper is implemented and tested in practical experiments. Experimental results have proved that the proposed monitoring system is correct and feasible for vehicle owners.","","978-1-4799-3230-6","10.1109/WICT.2013.7113108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113108","","Mobile communication;Global Positioning System;Monitoring;Androids;Humanoid robots;Artificial intelligence;Artificial neural networks","","1","","12","IEEE","1 Jun 2015","15-18 Dec. 2013","15-18 Dec. 2013","IEEE","IEEE Conferences"
"Humanoid robot indoor navigation based on 2D bar codes: application to the NAO robot","L. George; A. Mazel","Aldebaran Robotics A-Lab, Aldebaran-Robotics, Paris, France; Aldebaran Robotics A-Lab, Aldebaran-Robotics, Paris, France",2013 13th IEEE-RAS International Conference on Humanoid Robots (Humanoids),"9 Mar 2015","2013","","","329","335","We put forward a method for humanoid robot indoor localization and navigation, using 2D bar codes, running on embedded hardware. Our approach is based on camera image processing and the detection of 2D bar codes stuck to the walls. The particularities of our approach are: it works without odometry, fast localization (≈1s) that allows for kidnapping and falls, and it does not require the manual edition of a map (thus no extra computer is needed).","2164-0580","978-1-4799-2619-0","10.1109/HUMANOIDS.2013.7029995","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7029995","","Navigation;Bar codes;Robot kinematics;Estimation;Cameras;Robot vision systems","","35","","16","IEEE","9 Mar 2015","15-17 Oct. 2013","15-17 Oct. 2013","IEEE","IEEE Conferences"
"The research and improvement of indoor localization algorithms based on RSSI","Z. Chen; H. Fan","Department of Computer Science, Huazhong Agriculture University, Wuhan, China; Department of Computer Science, Huazhong Agriculture University, Wuhan, China",Proceedings of 2013 3rd International Conference on Computer Science and Network Technology,"1 Dec 2014","2013","","","178","181","This paper discusses various factors of indoor localization system, and analyzes distance measurement based on RSSI. We propose a novel indoor localization algorithm, and give the prior probability and posterior probability of target location based on Bayes filtering theory. For dynamic target, we utilize Kalman filter to compensate distance measurement errors of dynamic target, solving the problems of localization and tracking of other target objects on the ground.","","978-1-4799-0561-4","10.1109/ICCSNT.2013.6967090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6967090","Indoor Localization;RSSI;Bayes Theory;Kalman Filter","Decision support systems;Handheld computers;Conferences;Computer science","","3","","17","IEEE","1 Dec 2014","12-13 Oct. 2013","12-13 Oct. 2013","IEEE","IEEE Conferences"
"An Algorithmic Frame of hybrid position estimation for a mobile handset","H. -m. Jeon; S. -Y. Kang; J. -h. Kim","Dept. of Industrial Engineering, Ajou University, Suwon, Korea; Smart Home Technology Lab, SK Telecom; Dept. of Industrial Engineering, Ajou University, Suwon, Korea",2013 IEEE International Conference on Industrial Engineering and Engineering Management,"24 Nov 2014","2013","","","1334","1338","Find the location based by IMU(Inertia Motion Sensor Unit) sensor in smartphone. DigitalCompass and Acceleration Double Integral, Zero Crossing used, Gyro and an algorithm that combines Digitalcompass thought. Finally, Gyro, Digita Compass, Gyro + Digitalcompass App was developed in three ways, new Algorithmic Frame.","2157-362X","978-1-4799-0986-5","10.1109/IEEM.2013.6962627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6962627","Algorithmic Frame;App;Smart Phone","Compass;Estimation;Magnetic field measurement;Acceleration;Azimuth;Algorithm design and analysis;Magnetic separation","","","","5","IEEE","24 Nov 2014","10-13 Dec. 2013","10-13 Dec. 2013","IEEE","IEEE Conferences"
"IMU-WPS hybrid position estimation test-bed development","B. -S. Kim; S. -Y. Kang; J. -H. Kim","Department of Industrial Engineering, University of Ajou, Suwon, Korea; Smart Home Technology Lab, Network Technology R&D Center, Bun-dang, Korea; Department of Industrial Engineering, University of Ajou, Suwon, Korea",2013 IEEE International Conference on Industrial Engineering and Engineering Management,"24 Nov 2014","2013","","","1132","1135","Lately, a range of applications of the LBS(Location Based Service) is being extended to indoor position estimation. This investment is caused by a huge expectation about the bright prospect of indoor LBS market, including mobile advertisement. Indoor position estimation is now being studied with various methods. Among them, the central field of indoor estimation method by using smart-mobile sensors. However, this method has its limitation within an urban environment because of sensing obstructions. To overcome the limitation of the IMU-based method, we determined the need of a combination of the IMU-based method, an infra-based estimation method and a hybrid design. So, we will use hybrid IMU-based method and a wireless infra method.(WPS).","2157-362X","978-1-4799-0986-5","10.1109/IEEM.2013.6962587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6962587","Indoor estimation;MEMS IMU Sensors;WPS(Wi-Fi Positioning System)","Estimation;Sensors;Compass;Gyroscopes;Wireless communication;Navigation;Wireless sensor networks","","","","10","IEEE","24 Nov 2014","10-13 Dec. 2013","10-13 Dec. 2013","IEEE","IEEE Conferences"
"Indoor integrated navigation for differential wheeled robot using ceiling artificial landmark","Song Yulong; Lian Baowang; Li Cha","School of Electronic and Information, Northwestern Polytechnical University, Xi'an, China; School of Electronic and Information, Northwestern Polytechnical University, Xi'an, China; School of Electronic and Information, Northwestern Polytechnical University, Xi'an, China","Proceedings 2013 International Conference on Mechatronic Sciences, Electric Engineering and Computer (MEC)","28 Aug 2014","2013","","","828","831","The article proposes a vision/dead reckoning integrated indoor navigation system with low cost and high precision for differential wheeled robot. A monocular infrared sensitive camera is utilized to identify the ceiling artificial landmark, and to measure distances between blind node and anchor nodes, thus achieving vision localization. In addition, the kinematics model for differential wheeled robot is established to reckon the robot position with wheel speeds input from optical encoder sensors. Every moment, the vision localization information is combined with the estimated position from kinematics model by an extended Kalman Filter (EKF). Simulation results show that the positioning accuracy is improved from decimeter(vision localization) to centimeter level.","","978-1-4799-2565-0","10.1109/MEC.2013.6885173","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6885173","Indoor Integrated Navigation;Vision;Dead Reckoning;Ceiling Artificial Landmark;Photoelectric Coder;EKF","Educational institutions;Robot sensing systems;Size measurement;Standards","","2","","13","IEEE","28 Aug 2014","20-22 Dec. 2013","20-22 Dec. 2013","IEEE","IEEE Conferences"
"Energy efficient WiFi-based fingerprinting for indoor positioning with smartphones","I. Bisio; F. Lavagetto; M. Marchese; A. Sciarrone","Dept. of Telecommunication, Electronic, Electric Engineering and Naval Architectures DITEN Genoa, Italy; Dept. of Telecommunication, Electronic, Electric Engineering and Naval Architectures DITEN Genoa, Italy; Dept. of Telecommunication, Electronic, Electric Engineering and Naval Architectures DITEN Genoa, Italy; Dept. of Telecommunication, Electronic, Electric Engineering and Naval Architectures DITEN Genoa, Italy",2013 IEEE Global Communications Conference (GLOBECOM),"17 Jul 2014","2013","","","4639","4643","The paper presents an energy efficient WiFi-based indoor positioning algorithm, based on the probabilistic fingerprinting method, suited to be used over smartphone platforms. The work proposes a simple algebraic approach aimed at reducing the computational and energy loads of the probabilistic fingerprinting, which is employed to carry out the position of a smartphone on the basis of the captured WiFi Access Points signal strengths in an indoor area. The presented solution does not apply any kind of approximation with respect to the traditional approach, so avoiding accuracy detriment. The idea is to factoring out the parts of the probabilistic fingerprint formulae that can be computed a-priori, so reducing the computational burden of the positioning process. The paper also highlights the effectiveness of the proposed solution by evaluating the energy saved in comparison with the traditional approach. The obtained results, collected by testing three different smartphones, show that our approach allows saving a significant quantity of energy so increasing the smartphones battery lifetime.","1930-529X","978-1-4799-1353-4","10.1109/GLOCOMW.2013.6855683","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6855683","Energy Efficiently;WiFi-FingerPrinting;Indoor Positioning;Smartphones","Smart phones;Fingerprint recognition;Training;Probabilistic logic;IEEE 802.11 Standards;Batteries;Vectors","","29","","13","IEEE","17 Jul 2014","9-13 Dec. 2013","9-13 Dec. 2013","IEEE","IEEE Conferences"
"A ""smart"" multimedia guide for indoor contextual navigation in cultural heritage applications","A. Chianese; F. Marulli; V. Moscato; F. Piccialli","Department of electrical engineering and information technologies, University of Naples ""Federico II"", Italy; Department of electrical engineering and information technologies, University of Naples ""Federico II"", Italy; Department of electrical engineering and information technologies, University of Naples ""Federico II"", Italy; Department of electrical engineering and information technologies, University of Naples ""Federico II"", Italy",International Conference on Indoor Positioning and Indoor Navigation,"10 Jul 2014","2013","","","1","6","In this paper, we present an ongoing project developed within DATABENC, a high technology district for Cultural Heritage management. In particular, the project aims at exploiting several location-based services and technologies to realize a smart multimedia guide system able to detect user position and make objects of a museum exhibition able to ""talk"" during tourists' visit and capable of automatically telling their story using multimedia facilities. Moreover, we have deployed in the museum rooms a particular Wireless Sensor Network (WSN) that, using Bluetooth technology, is able to sense the surrounding area for detecting user devices' presence. Once a device has been detected, the related MAC address is retrieved and multimedia contents of the closest museum artworks are delivered to user using proper multimedia delivery techniques to facilitate and make more stimulating the visit. As case of study, we show an example of ""talking"" museum as a smart multimedia guide of sculptures' art exhibition within the Maschio Angioino castle, in Naples (Italy).","","978-1-4799-4043-1","10.1109/IPIN.2013.6851448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6851448","","Multimedia communication;Wireless sensor networks;Bluetooth;Sensors;Mobile handsets;Context;Cultural differences","","36","","17","IEEE","10 Jul 2014","28-31 Oct. 2013","28-31 Oct. 2013","IEEE","IEEE Conferences"
"Towards online position information integration in a location based services gateway","S. Knauth; A. Andrushevich; A. Klapproth","Computer Sciences, Geomatics and Mathematics Dept., Stuttgart University of Applied Sciences - HFT Stuttgart; iHomeLab, Lucerne University of Applied Sciences; iHomeLab, Lucerne University of Applied Sciences",International Conference on Indoor Positioning and Indoor Navigation,"10 Jul 2014","2013","","","1","4","Assistance Systems employing for example interactive control of building environments and indoor localization services are topics of growing relevance for ambient systems. Today there exist already a variety of indoor localization approaches and systems as well as universal remote control systems. In recent works we reported on our research on lightweight middleware offering a position related smart building services gateway. Such a system allows clients to receive visual- and contextual information about the environment and allows performing control of systems within this environment. The gateway middleware eases abstraction and integration of underlying systems and information, for example indoor localization technology, the original 3D building model data format, or existing control applications into client applications. In the current work we investigate the integration of dynamic position information using the iLoc indoor localization system and a mobile position visualization application.","","978-1-4799-4043-1","10.1109/IPIN.2013.6851468","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6851468","Indoor Localization;Position Information Gateway;Building Automation","Visualization;Logic gates;Buildings;Three-dimensional displays;Navigation;Control systems;Automation","","","","","IEEE","10 Jul 2014","28-31 Oct. 2013","28-31 Oct. 2013","IEEE","IEEE Conferences"
