"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Consideration of Standards and Recommendations for Selection, Installation and Maintenance of Substation Transformers","D. B. Durocher; M. C. Elliott; S. T. Reed","Retired - Eaton Corporation, West Linn, OR, USA; Eaton Corporation, Wilsonville, OR, USA; Eaton Corporation, Waukesha, WI, USA",2021 IEEE-IAS/PCA Cement Industry Conference (IAS/PCA),"7 Jun 2023","2021","","","1","10","This paper will discuss the key applicable North American Standards defining performance, testing, installation and routine field maintenance of liquid-immersed distribution substation transformers. These transformers, typically applied in commercial and industrial power systems, can be installed either in outdoor or indoor locations, applied as remote or close-coupled to either primary or secondary switchgear, or both. Typical ratings for these distribution substation transformers range from 112.5 kVA through 10,000 kVA three-phase, at 50 or 60 Hertz, with primary voltage at 34,500 volts and below and secondary voltage at 6,900 volts and below. Not included in the scope of this paper are dry-type distribution transformers, pad-mounted distribution transformers or power transformers with ratings up to 100,000 kVA and 230 kV. Recommendations based on these standards for selection, installation and factory/field testing industry users should specify to maximize reliability, operational efficiency and safety will follow.","2155-9155","978-1-6654-4551-1","10.1109/IAS/PCA50164.2021.10143791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10143791","Distribution substation transformers;industry standards;factory testing;field testing;routine maintenance","Industries;Substations;Power distribution;Voltage;Maintenance engineering;Power system reliability;Power transformers","","2","","14","IEEE","7 Jun 2023","24-28 May 2021","24-28 May 2021","IEEE","IEEE Conferences"
"A Convoy Discovering Algorithm for Passengers in the Cruise Based on UWB Positioning","S. Yan; B. Wu; L. Shang; Y. Wang; J. Lyu","National Engineering Research Center for Water Transport Safety Wuhan University of Technology, Wuhan, China; National Engineering Research Center for Water Transport Safety Wuhan University of Technology, Wuhan, China; National Engineering Research Center for Water Transport Safety Wuhan University of Technology, Wuhan, China; National Engineering Research Center for Water Transport Safety Wuhan University of Technology, Wuhan, China; CIMC Intelligent Technology Co. Ltd., Shenzhen, China",2021 6th International Conference on Transportation Information and Safety (ICTIS),"27 Jun 2022","2021","","","392","397","To accurately discover the convoy pattern among passengers in the interior space of cruise, UWB positioning is employed in the cruise to provide on-board personnel positioning. An improved Haussdorff-DBSCAN based scheme is proposed to find trajectory clustering of the cruise passengers, considering the characteristics of UWB location data and the semantic sequence of passenger-wise location. In the first phase, traditional Haussdorff distance calculation method cannot precisely express the similarity between two trajectories. The location semantic information is added to the calculation so that it will be more accurate when discover the convoy pattern of trajectories. In the second phase, the input of the improved Hausdorff-DBSCAN algorithm is the passenger trajectories data set, and the clustering radius is determined according to the overall similarity threshold of trajectories. The output are the emerging clusters of passenger trajectories in the same companion group. Due to the reason that there is no condition to install UWB positioning devices in a real cruise, the validity of the presented algorithm is verified by the trajectory data obtained from the passengers simulation on one deck of the cruise, which is modeled in Anylogic. The results indicate that the precision of the algorithm reaches 0.92, the recall value reaches 0.93, substantially higher than the existing algorithm.","","978-1-6654-9713-8","10.1109/ICTIS54573.2021.9798654","Ministry of Industry and Information Technology(grant numbers:G18473CZ06); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798654","spatio-temporal trajectory similarity;UWB indoor positioning;Point difference degree;DBSCAN clustering","Semantics;Clustering algorithms;Transportation;Data models;Trajectory;Safety;Personnel","","2","","16","IEEE","27 Jun 2022","22-24 Oct. 2021","22-24 Oct. 2021","IEEE","IEEE Conferences"
"Selection of Optimum Grid Size and Unlabeled Data for Fingerprinting based Indoor Localization","S. Tiwari; V. Tiwari; S. Maurya","School of Computer Science & Engineering, VIT-AP University, Amaravati, AP, India; School of Computer Science & Engineering, VIT-AP University, Amaravati, AP, India; School of Computer Science & Engineering, VIT-AP University, Amaravati, AP, India",2021 2nd International Conference on Computational Methods in Science & Technology (ICCMST),"2 Jun 2022","2021","","","132","136","The localization technique based on Wi-Fi fingerprinting approach are generally used for area assessment in indoor remote organizations. All together to detract the adjustment work to build the radio guide, some of the researchers utilized semi-directed AI which may use unlabelled information alongside marked information. The major question in these Minimum Calibration based Localization System (MCLS)is to decide the ideal proportion of named and unlabelled data, that give the satisfactory precision at nearly low calibration exertion. In existing MCLS, specialists utilized distinguished framework sizes to develop the Wi-Fi fingerprinting database. Framework size is an significant factor which not just impacts the accuracy but alignment exertion moreover. Thusly, there are prerequisites to determine the ideal proportion of marked and unlabelled information, and optimum lattice size, at which MCLS give the best accuracy at low alignment exertion. In this work, two novel calculations: Optimum Ratio Identification Approach (ORIA) to determine ideal proportion of marked and unlabelled information, and Optimum Grid Size Identification Algorithm (OGSIA) to choose the best size of the grid. We have developed radio guide for three diverse grid sizes $1\times 1\ m^{2}, 1.5 \times 1.5\ m^{2}$ and $2 \times 2\ m^{2}$, utilizing our experimental test bed to test these calculations. The exploratory results illustrate that the ideal proportion among named and unlabelled data is 48:52. It is additionally discovered that network size $2\times 2\ m^{2}$ gives least localization error at minimum alignment exertion.","","978-1-6654-5866-5","10.1109/ICCMST54943.2021.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9784687","Location tracking;Machine learning methods;Smart-phone;Received Signal strength","Location awareness;Databases;Cellular phones;Buildings;Lattices;Organizations;Fingerprint recognition","","","","18","IEEE","2 Jun 2022","17-18 Dec. 2021","17-18 Dec. 2021","IEEE","IEEE Conferences"
"DeepLoc: A Deep Neural Network-based Indoor Positioning Framework","S. Liu; Q. Ren; J. Li; H. Xu","Department of Computer Science and Technology, Heilongjiang University, Harbin, China; Department of Computer Science and Technology, Heilongjiang University, Harbin, China; Shandong Artificial Intelligence Institute, Qilu University of Technology, Jinan, China; Department of Computer Science and Technology, Heilongjiang University, Harbin, China","2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)","30 May 2022","2021","","","1735","1740","The growing attention on location-based services has promoted the development of indoor localization studies. Existing techniques mainly use Received Signal Strength Indicator (RSSI) of wireless signals as location fingerprint. Inspired by deep learning techniques for signal processing, we propose a deep neural network-based framework (DeepLoc) to implement Wi-Fi fingerprint positioning. In order to improve localization performance, we further design a network division based optimization algorithm. We first adopt greedy algorithm to locate the user in a sub-area, and then reconstruct a smaller fingerprint database, which is fed into the training model. Finally, we evaluate the proposed framework. Experimental results show that DeepLoc can improve the localization accuracy efficiently and obtain better performance.","","978-1-6654-9457-1","10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781040","positioning;greedy algorithm;deep learning;sub-area","Location awareness;Training;Greedy algorithms;Deep learning;Signal processing algorithms;Fingerprint recognition;Received signal strength indicator","","2","","23","IEEE","30 May 2022","20-22 Dec. 2021","20-22 Dec. 2021","IEEE","IEEE Conferences"
"Indoor Localization System Based on Bluetooth Low Energy With Inertial Sensor Assist for Resource Constrained Environments","L. Gunathilake; T. Hettiwatta; S. Charles; C. Gamage","Dept of CSE, University of Moratuwa, Katubedda, Sri Lanka; Dept of CSE, University of Moratuwa, Katubedda, Sri Lanka; Dept of CSE, University of Moratuwa, Katubedda, Sri Lanka; Dept of CSE, University of Moratuwa, Katubedda, Sri Lanka",2021 21st International Conference on Advances in ICT for Emerging Regions (ICter),"16 May 2022","2021","","","135","140","Indoor localization refers to locating people or objects inside indoor areas where conventional localization approaches fail to perform. This paper presents a novel methodology for indoor localization with Bluetooth Low Energy and inertial sensors for resource constrained devices. Authors approach uses a Kalman filter-based localization method that is running on the cloud, compared to previous work that utilized the end node for processing. The performance of the proposed system depends on factors such as the accuracy of inertial sensors, data broadcast frequency, and the quality of indoor infrastructure. Results show that our approach for indoor localization is well suited for devices with limited processing power.","2472-7598","978-1-6654-6686-8","10.1109/ICter53630.2021.9774802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9774802","BLE;IMIJ;RSSI;Kalman filter","Location awareness;Performance evaluation;Earth;Cloud computing;Bluetooth;Inertial sensors;Indoor navigation","","","","14","IEEE","16 May 2022","2-3 Dec. 2021","2-3 Dec. 2021","IEEE","IEEE Conferences"
"ULIENet: User localization in indoor environments via neural networks","Q. Abu Al-Haija; A. Al Badawi","Department of Computer Science/Cybersecurity, Princess Sumaya University for Technology (PSUT), Amman, Jordan; Department of Homeland Security, Rabdan Academy (RA), Abu Dhabi, UAE",4th Smart Cities Symposium (SCS 2021),"9 May 2022","2021","2021","","126","130","User and object localization in indoor environments has been applied in several domains such as military, commercial, and inventory tracking systems. Such systems can be used to locate users or objects in bounded indoor environments where Global Positioning Systems cannot be used due to weak satellite signals. In this paper, we propose ULIENet: a User Localization in Indoor Environments neural network system using Wi-Fi signals. At the core of ULIENet is a machine learning model that predicts the location of Wi-Fi-enabled user or object using the measured strength of Wi-Fi signals from anchored access points situated at fixed locations in a bounded area. We evaluate ULIENet on the Wireless Indoor Localization Data Set and find it can provide 98.20% classification accuracy.","","978-1-83953-658-8","10.1049/icp.2022.0326","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770694","","","","","","","","9 May 2022","21-23 Nov. 2021","21-23 Nov. 2021","IET","IET Conferences"
"Multi-Region Indoor Localization Based on WVP System","L. Zhang; Y. Xu; J. Bao; Q. Wang; J. Xu; D. Li; Y. Yang; M. Zhang","School of Mathematics, Hefei University of Technology, Hefei, China; School of Mathematics, Hefei University of Technology, Hefei, China; School of Mathematics, Hefei University of Technology, Hefei, China; School of Mathematics, Hefei University of Technology, Hefei, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Mathematics, Hefei University of Technology, Hefei, China; School of Mathematics, Hefei University of Technology, Hefei, China",2021 IEEE 27th International Conference on Parallel and Distributed Systems (ICPADS),"3 May 2022","2021","","","773","779","Indoor localization has attracted increasingly attention in the era of Internet of Things. Single indoor localization method based on WiFi fingerprint, surveillance camera or pedestrian dead reckoning suffers from low accuracy, limited tracking region or accumulative errors. Pioneering works over-come these limitations at the costs of ubiquity as they mostly resort to additional information or extra user constraints. In the large indoor region, it is important to quickly get pedestrian detection and tracking. In this paper, an indoor localization and tracking system has been presented which integrates WiFi fingerprint, Vision of surveillance camera and Pedestrian Dead Reckoning(WVP system for short). This WVP system achieves high accuracy in dynamic indoor environment. Importantly, WVP employs a motion sequence-based matching algorithm to confirm pedestrian identity. WVP outputs enhanced accuracy and overcomes the corresponding drawbacks of each subsystem simultaneously. Experimental results show that WVP can effectively track pedestrians in multi-region, and has great robustness, and the positioning accuracy is decimeter. It also performs well in complex environment.","2690-5965","978-1-6654-0878-3","10.1109/ICPADS53394.2021.00102","National Key Research and Development Program(grant numbers:2018YFB2100301); National Natural Science Foundation of China(grant numbers:61972131); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763783","Indoor localization;WiFi;computer vision;pedestrian dead reckoning;YOLOv5","Location awareness;Tracking;Surveillance;Heuristic algorithms;Fingerprint recognition;Cameras;Robustness","","1","","38","IEEE","3 May 2022","14-16 Dec. 2021","14-16 Dec. 2021","IEEE","IEEE Conferences"
"Wi-Fi Fingerprint Update for Indoor Localization via Domain Adaptation","Y. Tian; J. Wang; Z. Zhao","College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China",2021 IEEE 27th International Conference on Parallel and Distributed Systems (ICPADS),"3 May 2022","2021","","","835","842","Wi-Fi signals vary over time due to multipath fading and dynamic indoor environment. Hence in the long-run deployment of Wi-Fi fingerprinting localization, to retain high accuracy the fingerprint database has to be updated regularly, which is usually labor-intensive and time-consuming. In this paper, we propose a novel unsupervised domain adaptation model TransLoc for Wi-Fi fingerprint update, to keep high accuracy yet at a low cost. TransLoc consists of a feature extractor, a generator, a discriminator, and a location predictor. The feature extractor learns domain-invariant features by cooperating with other components. To further guarantee localization accuracy, the location predictor is designed as a semi-supervised regressor with three parallel sub-modules. We carry out extensive experiments in two typical real-world indoor environments with a total area of over 8,200 $m^{2}$ across three months. Experimental results show that with only an initial fingerprint database and current unlabeled fingerprints, TransLoc maintains high localization accuracy at a low cost in the long run.","2690-5965","978-1-6654-0878-3","10.1109/ICPADS53394.2021.00110","National Natural Science Foundation of China (NSFC)(grant numbers:61972283); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763698","Wi-Fi fingerprinting indoor localization;fingerprint update;unsupervised domain adaptation;deep learning","Location awareness;Fading channels;Adaptation models;Costs;Inertial sensors;Fingerprint recognition;Feature extraction","","10","","29","IEEE","3 May 2022","14-16 Dec. 2021","14-16 Dec. 2021","IEEE","IEEE Conferences"
"A Novel iBeacon Deployment Scheme for Indoor Pedestrian Positioning","W. Yu; J. Zhang; J. Cai; J. Xu","College of Artificial Intelligence, Tianjin University of Science and Technology, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; College of Computer Science, Nankai University, Tianjin, China",2021 IEEE 27th International Conference on Parallel and Distributed Systems (ICPADS),"3 May 2022","2021","","","8","17","With diversified demands for location-based services (LBS), smartphone-based indoor pedestrian positioning becomes a research hotspot in the academic and industrial society. Due to the complexity of the indoor environments and the insufficient accuracy of smartphone inertial sensors, it is still challenging to get an indoor pedestrian positioning solution with stable positioning accuracy and good environmental adaptability. Aiming at this problem, a novel iBeacon deployment scheme for indoor pedestrian is proposed in this paper. Firstly, we introduce an abstract method for complex and diverse plane structures of the indoor environments. Secondly, a mapping function between positioning accuracy and pedestrian walking distance is deduced by error analysis of pedestrian dead-reckoning (PDR) method. Finally, this paper proposes a generation algorithm of iBeacon deployment scheme which not only satisfies the positioning accuracy requirement of LBSs but also greatly reduces the number of deployed iBeacons. We have carried out experimental analysis on three different plane structures of real indoor environments. And it turns out that the proposed iBeacon deployment scheme can help PDR-based indoor pedestrian positioning solutions to achieve breakthrough in indoor environment adaptability.","2690-5965","978-1-6654-0878-3","10.1109/ICPADS53394.2021.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763752","Indoor Positioning;iBeacon;Pedestrian Dead-Reckoning;Environment Adaptability","Legged locomotion;Dead reckoning;Costs;Error analysis;Inertial sensors;Conferences;Indoor environment","","2","","22","IEEE","3 May 2022","14-16 Dec. 2021","14-16 Dec. 2021","IEEE","IEEE Conferences"
"Measuring and Modeling Multipath of Wi-Fi to Locate People in Indoor Environments","X. Ma; H. He; H. Zhang; W. Xi; Z. Chen; J. Zhao","Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China",2021 IEEE 27th International Conference on Parallel and Distributed Systems (ICPADS),"3 May 2022","2021","","","185","192","With the rapid development of the Internet of Things (IoT) technology, the position information of indoor people has become an indispensable factor in most fields. Most existing indoor positioning schemes require people to keep moving to detect significant variance of the signal as the location feature. Hence, this paper proposes a passive indoor positioning system based on commodity Wi-Fi called Wisite, which can implement indoor multipath signal measurement and static person positioning modeling. The biggest challenge is how to detect the dynamic features in the reflection path of the static person to achieve target path matching. To address this issue, Wisite proposes a MUSIC expectation-maximization (MEM) joint parameter estimation algorithm to estimate and enhance the indoor multipath parameters. Then, a dynamic path matching model based on signal change enhancement (SCE) is proposed to enhance the signal changes caused by human activities, which can amplify the weak signal changes introduced by human respiration when a person is in a static state. Finally, the multipath geometric positioning model is used to calculate the person's position. We implement Wisite using commercial off-the-shelf (COTS) IEEE 802.11n devices and evaluate its performance via extensive experiments in typical real-world scenes. The results show that Wisite outperforms the comparison approaches in estimating accuracy and effectiveness with the average indoor positioning error is less than 0.65cm.","2690-5965","978-1-6654-0878-3","10.1109/ICPADS53394.2021.00029","National Key R&D Program of China(grant numbers:2019YFB2102200); NSFC(grant numbers:61832008,61772413,61802299); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763705","Indoor positioning;Wi-Fi;MUSIC expectation maximization (MEM);signal change enhancement (SCE);Multipath positioning","Micromechanical devices;Performance evaluation;Parameter estimation;Heuristic algorithms;Position measurement;Feature extraction;Reflection","","2","","29","IEEE","3 May 2022","14-16 Dec. 2021","14-16 Dec. 2021","IEEE","IEEE Conferences"
