"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Location Estimation for DCO-OFDM based VLC in Realistic Indoor Channel","N. Kalikulov; K. Dautov; R. C. Kizilirmak","School of Engineering, Nazarbayev University, Astana, Kazakhstan; School of Engineering, Nazarbayev University, Astana, Kazakhstan; School of Engineering, Nazarbayev University, Astana, Kazakhstan",2017 IEEE 11th International Conference on Application of Information and Communication Technologies (AICT),"11 Apr 2019","2017","","","1","4","This paper presents work on indoor positioning for DC biased optical orthogonal frequency division multiplexing (OFDM) based visible light communication (VLC) using realistic indoor channels. Channel impulse responses (CIR) were obtained using Zemax, which is non-sequential ray tracing algorithm. This software allows to create a realistic indoor environment with specific geometry and objects (e.g. furniture). We used a model where a person carrying mobile terminal walks along the diagonal of a room and mobile terminal was rotated with respect to transmitters. By using the obtained CIR results, a trilateration algorithm based on received signal strength (RSS) was used to estimate the location of a receiver.","2472-8586","978-1-5386-0501-1","10.1109/ICAICT.2017.8686834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686834","Inpoor positioning;DCO-based VLC","Optical transmitters;Light emitting diodes;OFDM;Visible light communication;Optical receivers;Adaptive optics","","4","","19","IEEE","11 Apr 2019","20-22 Sept. 2017","20-22 Sept. 2017","IEEE","IEEE Conferences"
"Weighted Least Squares Estimator of Range Based on DMT VLC for Indoor Positioning","Z. Zheng; L. Liu; W. Hu","State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing",2017 Asia Communications and Photonics Conference (ACP),"24 Feb 2019","2017","","","1","3","A weighted least squares approach utilizing the training symbol of discrete multi-tone (DMT) visible light communication (VLC) is proposed to estimate the range between the LEDs and receiver, which considers the VLC channel low-pass characteristics.","2162-1098","978-1-943580-34-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8649195","","Light emitting diodes;Optical attenuators;Optical receivers;Stimulated emission;Adaptive optics;Optical transmitters","","","","5","","24 Feb 2019","10-13 Nov. 2017","10-13 Nov. 2017","IEEE","IEEE Conferences"
"An Indoor Visible Light Positioning Based on Image Processing","K. He; S. Gui; Z. Zheng; L. Liu","State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing",2017 Asia Communications and Photonics Conference (ACP),"24 Feb 2019","2017","","","1","3","An effective indoor positioning system based on visible light communication (VLC), focusing on the image processing. Accurate edge and identity detection algorithm is exploited for image processing to decline positioning error.","2162-1098","978-1-943580-34-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8649020","","Light emitting diodes;Image edge detection;Servers;Decoding;Asia;Photonics","","","","3","","24 Feb 2019","10-13 Nov. 2017","10-13 Nov. 2017","IEEE","IEEE Conferences"
"Location-Based Equalization for OFDM Indoor Visible Light Communication Systems","X. You; J. Chen; C. Yu","School of Telecommunications & Information Engineering, Nanjing University of Posts & Telecommunications, Nanjing, China; School of Telecommunications & Information Engineering, Nanjing University of Posts & Telecommunications, Nanjing, China; Department of Electronic & Information Engineering, The Hong Kong Polytechnic University, Hong Kong",2017 Asia Communications and Photonics Conference (ACP),"24 Feb 2019","2017","","","1","3","In indoor visible light communication (VLC) systems based on orthogonal frequency division multiplexing (OFDM), we propose a novel location-based equalization (LBE) concept to counteract multi-path effects. Different implementation methods are also discussed. Results show that the LBE design, especially based on only a line-of-sight link, can effectively equalize OFDM multi-path signals and improve system bit error rate performance at different indoor locations.","2162-1098","978-1-943580-34-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8649075","","OFDM;Channel estimation;Equalizers;Light emitting diodes;Optical reflection;Optical filters","","","","8","","24 Feb 2019","10-13 Nov. 2017","10-13 Nov. 2017","IEEE","IEEE Conferences"
"Energy-Efficient and Robust Middleware Prototyping for Smart Mobile Computing","S. Tiku; S. Pasricha","Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO",2017 International Symposium on Rapid System Prototyping (RSP),"29 Nov 2018","2017","","","2","8","A large amount of data is produced by mobile devices today. The rising computational abilities and sophisticated operating systems (OS) on these devices have allowed us to create applications that are able to leverage this data to deliver better services. But today's mobile technology is heavily limited by low battery capacity and limited cooling capabilities, which has motivated a search for new ways to optimize for energy-efficiency. A challenge in conducting such optimizations for today's mobile devices is to be able to make changes in complex OS and application software architectures. Middleware has been becoming an increasingly popular solution for inserting energy-efficient solutions and optimizations in a robust manner, without altering the OS or application code. This is because of the flexibility and standardization that can be achieved through middleware. In this paper, we discuss some powerful and promising developments in prototyping middleware for energy-efficient and robust execution of a variety of applications on commodity mobile computing devices.","2150-5519","978-1-4503-5418-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8548012","Middleware;mobile computing;energy-efficiency;robustness","Middleware;Mobile handsets;Batteries;Energy efficiency;Optimization;Mobile computing","","","","36","","29 Nov 2018","19-20 Oct. 2017","19-20 Oct. 2017","IEEE","IEEE Conferences"
"Combining RGB and Depth Images for Indoor Scene Classification Using Deep Learning","K. Pujar; S. Chickerur; M. S. Patil","Department of Computer Science and Engineering, B V B College of Engineering and Technology, Hubballi, India; Centre for High Performance Computing, K L E Technological University, Hubballi, India; Department of Computer Science and Engineering, B V B College of Engineering and Technology, Hubballi, India",2017 IEEE International Conference on Computational Intelligence and Computing Research (ICCIC),"8 Nov 2018","2017","","","1","8","There has been significant progress in recognition of outdoor scenes but indoor scene recognition is still an challenge. This is due to the high appearance fluctuation of indoor situations. With the recent developments in indoor and mobile robotics, identifying the indoor scenes has gained importance. Many approaches have been proposed to detect scenes using object detection and geotags. In contrast, the proposal of this paper uses the convolutional neural network which has gained importance with advancement in machine learning methodologies. Our method has higher efficiency than the existing models as we try to classify the environment as a whole rather than using object identification for the same. We test this approach on our dataset which consists of RGB and also depth images of common locations present in academic environments such as class rooms, labs etc. The proposed approach performs better than previous ones with accuracy up to 98%.","2473-943X","978-1-5090-6621-6","10.1109/ICCIC.2017.8524231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8524231","scene recognition;convolutional neural network;depth image;point cloud data","Feature extraction;Computational modeling;Training;Image segmentation;Three-dimensional displays;Convolutional neural networks","","7","","32","IEEE","8 Nov 2018","14-16 Dec. 2017","14-16 Dec. 2017","IEEE","IEEE Conferences"
"An Assessment of Mobile Advertising Effectiveness on Indoor Positioning","Y. -T. Chou; B. -W. Lee; S. -Y. Chen","Department of Applied Geoinformatics, Chia-Nan University of Pharmacy and Science, Tainan City, Taiwan, R.O.C.; Department of Tourism Management, Shih Chien University, Kaohsiung City, Taiwan, R.O.C.; Department of Applied Geoinformatics, Chia-Nan University of Pharmacy and Science, Tainan City, Taiwan, R.O.C.","2017 International Conference on Information, Communication and Engineering (ICICE)","4 Oct 2018","2017","","","211","214","With the rapid development of smart phone, a lot of new services have come to pass, which can be used by the new equipment and mobile wireless to break through barriers of indoor positioning technology. The service provider can collect the user's behavior pattern through the mobile application, and then gather a large number of groups with the same attributes. For provider, online advertising is the important sources of income. However, there seems to be a lack of mobile advertising effectiveness on indoor positioning, due to the fact that it hasn't widely used at present. This study will use the exhibition field space as the subject of indoor navigation test, and sum up its hierarchical structure by the expert group interviews, and then use analytic hierarchy process (AHP) to determine assessment weights. To find out the advantages of mobile advertising on indoor positioning app is the anticipated results of studying, as a service provider or users can refer to the information to create a win-win situation.","","978-1-5386-3202-4","10.1109/ICICE.2017.8479015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8479015","Indoor Positioning Navigation;Wi-Fi position;Smart Mobile Devices;Location-based Advertising","Advertising;Conferences;Interviews;Analytic hierarchy process;Real-time systems;Character recognition;Smart phones","","","","8","IEEE","4 Oct 2018","17-20 Nov. 2017","17-20 Nov. 2017","IEEE","IEEE Conferences"
"Improving Robot Navigation and Obstacle Avoidance using Kinect 2.0","A. Basiri; M. A. Oskoei; A. Basiri; A. M. Shahri","Engineering Qazvin Islamic Azad, University Qazvin, Iran; Department of Computer Science, University (ATU), Tehran, Iran; Centre for Advanced Spatial Analysis (CASA), University College London (UCL), London, The UK; Electrical Engineering Department, Iran University of Science and Technology",2017 5th RSI International Conference on Robotics and Mechatronics (ICRoM),"16 Sep 2018","2017","","","486","489","Kinect is a low-cost controller-free device, originally designed for gaming and entertainment. This work presents a solution using the most recent version of Kinect sensor, which has got significant improvement in several ways in comparison with earlier versions, to cope with one important aspect of autonomous mobile robotics, obstacle avoidance. Modeling the environment based on the point cloud extracted from the depth image data as well as an obstacle avoidance method using the straight line segments and circle arcs, were the main focus of the paper. The environment is represented by a set of polygons and the obstacle avoidance algorithm attempts to find a collision-free path from the current position of the robot to the target pose subject to the shortest possible path considering a safeguard. The whole algorithm was implemented and simulated in V-rep software. A mobile robotic platform based on Pioneer This motivated using the Kinect 2 sensor to extend the ability to detect obstacles and hence to improve the local path planner and obstacle avoidance components.","2572-6889","978-1-5386-5703-4","10.1109/ICRoM.2017.8466145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466145","Robot navigation;obstacle avoidance;Kinect 2","Collision avoidance;Navigation;Cameras;Robot vision systems;Three-dimensional displays","","4","","16","IEEE","16 Sep 2018","25-27 Oct. 2017","25-27 Oct. 2017","IEEE","IEEE Conferences"
"Opportunistic Spectrum Access Measurements and Analysis in Urban Area for a better cognitive approach","N. Khoja; S. Anpat; V. Kale; P. Gadiya; S. Suryawanshi; M. Naikwadi; K. Patil","Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India; Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India; Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India; Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India; Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India; Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India; Department of Electronics and Telecommunication, Sinhgad Academy of Engineering, Pune, India","2017 International Conference on Computing, Communication, Control and Automation (ICCUBEA)","13 Sep 2018","2017","","","1","6","The number of wireless devices is ever increasing and the band they operate in are getting more congested, In such circumstances cognitive radio answers to all the underutilization issues. Researchers have proved that a large part of the currently licensed spectrum is inefficiently used. In this paper, we have conducted spectrum measurements and analysis for indoor and outdoor locations in an urban area of Pune city for the frequency band of 700 MHz to 2.7 GHz. These measurements provide cogent evidence that some bands have enough slots which can be used by the spectrum regulators while implementing the dynamic spectrum allotment methods.","","978-1-5386-4008-1","10.1109/ICCUBEA.2017.8463736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8463736","Cognitve Radio;DSA;Spectrum;Occupancy","Antenna measurements;Frequency measurement;Area measurement;Urban areas;Cognitive radio;Resource management;Bandwidth","","2","","11","IEEE","13 Sep 2018","17-18 Aug. 2017","17-18 Aug. 2017","IEEE","IEEE Conferences"
"Inertial Sensor Based Localization Using Wi-Fi In Complex Indoor Environment","R. P. Rajeshirke; M. R. Dhage","Department of Computer Network Sinhgad College of Engineering, Pune, Savitribai Phule Pune University, Maharashtra, India; Department of Computer Network Sinhgad College of Engineering, Pune, Savitribai Phule Pune University, Maharashtra, India","2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC)","6 Sep 2018","2017","","","1110","1115","The recent years has seen a lot of research in indoor Iocalization and location services. Wireless location finding is one of the key technologies for wireless sensor networks. The GPS technology used for outdoor Iocalization, but when to deal with indoor Iocalization GPS solution is inadequate. Indoor locations include buildings like supermarkets, big malls, parking, universities and locations under the same roof. Though indoor location services based on received signal strength indication (RSSI), fingerprinting, angle of arrival (AoA) and time of flight (ToF) based techniques attracted more attention from Researcher, there is very less work has been done in achieving accuracy, removing NLOS errors and providing indoor navigation system. The proposed system which works on improving positioning accuracy of Iocalization and increasing speed of positioning with NLOS Error and TOF Ranging Error Mitigation using Wi-Fi RSSI based Fingerprinting and use of inertial sensors of smartphone like Accelerometer, magnetometer and Gyroscope. Furthermore an advanced particle filter is used to mitigate ranging error and NLOS Error.","","978-1-5386-3243-7","10.1109/CTCEEC.2017.8455074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8455074","IPS (Indoor Positioning System);RSSI based Fingerprinting;Particle Filter;Wi-Fi Access Points;Inertial Sensors;Assistant Node;LOS /NLOS (Line-of-Sight/ Non-Line-of-Sight)","Fingerprint recognition;Databases;Mathematical model;IP networks;Global Positioning System;Wireless fidelity;Indoor environments","","","","19","IEEE","6 Sep 2018","8-9 Sept. 2017","8-9 Sept. 2017","IEEE","IEEE Conferences"
