"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Received Signal Strength based Indoor Positioning Algorithm using Advanced Clustering and Kernel Ridge Regression","Y. Le; H. Zhang; W. Shi; H. Yao","School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China; School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China; School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China; School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China",Frontiers of Information Technology & Electronic Engineering,"16 Dec 2025","2021","22","6","827","838","We propose a novel indoor positioning algorithm based on the received signal strength (RSS) fingerprint. The proposed algorithm can be divided into three steps, an offline phase at which an advanced clustering (AC) strategy is used, an online phase of approximate localization at which cluster matching is used, and an online phase of precise localization with kernel ridge regression. Specifically, after offline fingerprint collection and similarity measurement, we employ an AC strategy based on the K-medoids clustering algorithm using additional reference points that are geographically located at the outer cluster boundary to enrich the data of each cluster. During the approximate localization, RSS measurements are compared with the cluster radio maps to determine to which cluster the target most likely belongs. Both the Euclidean distance of the RSSs and the Hamming distance of the coverage vectors between the observations and training records are explored for cluster matching. Then, a kernel-based ridge regression method is used to obtain the ultimate positioning of the target. The performance of the proposed algorithm is evaluated in two typical indoor environments, and compared with those of state-of-the-art algorithms. The experimental results demonstrate the effectiveness and advantages of the proposed algorithm in terms of positioning accuracy and complexity.","2095-9230","","10.1631/FITEE.2000093","National Natural Science Foundation of China(grant numbers:51705324,61702332); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11284985","Indoor positioning;Received signal strength (RSS) fingerprint;Kernel ridge regression;Cluster matching;Advanced clustering","Location awareness;Training;Memory management;Clustering algorithms;Fingerprint recognition;Approximation algorithms;Vectors;Indoor environment;Hamming distances;Kernel","","1","","32","","16 Dec 2025","June 2021","","ZUP","ZUP Journals"
"A Survey on Indoor 3D Modeling and Applications via RGB-D Devices","Z. Yuan; Y. Li; S. Tang; M. Li; R. Guo; W. Wang","China Guangdong-Hong Kong-Macau Joint Laboratory for Smart Cities & Key Laboratory of Urban Land Resources Monitoring and Simulation, Ministry of Natural Resources, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; China Guangdong-Hong Kong-Macau Joint Laboratory for Smart Cities & Key Laboratory of Urban Land Resources Monitoring and Simulation, Ministry of Natural Resources, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; China Guangdong-Hong Kong-Macau Joint Laboratory for Smart Cities & Key Laboratory of Urban Land Resources Monitoring and Simulation, Ministry of Natural Resources, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing, Wuhan University, Wuhan, China; China Guangdong-Hong Kong-Macau Joint Laboratory for Smart Cities & Key Laboratory of Urban Land Resources Monitoring and Simulation, Ministry of Natural Resources, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; China Guangdong-Hong Kong-Macau Joint Laboratory for Smart Cities & Key Laboratory of Urban Land Resources Monitoring and Simulation, Ministry of Natural Resources, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China",Frontiers of Information Technology & Electronic Engineering,"16 Dec 2025","2021","22","6","815","826","With the fast development of consumer-Level RGB-D cameras, real-world indoor three-dimensional (3D) scene modeling and robotic applications are gaining more attention. However, indoor 3D scene modeling is still challenging because the structure of interior objects may be complex and the RGB-D data acquired by consumer-level sensors may have poor quality. There is a lot of research in this area. In this survey, we provide an overview of recent advances in indoor scene modeling methods, public indoor datasets and libraries which can facilitate experiments and evaluations, and some typical applications using RGB-D devices including indoor localization and emergency evacuation.","2095-9230","","10.1631/FITEE.2000097","National Natural Science Foundation of China(grant numbers:71901147,41801392,41901329,41971354,41971341); Natural Science Foundation of Guangdong Province(grant numbers:2019A1515010748,2019A1515011872); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11285362","3D indoor mapping;RGB-D;Indoor localization;Construction monitoring;Emergency evacuation","Surveys;Location awareness;Solid modeling;Technological innovation;Analytical models;Three-dimensional displays;Pedestrians;Data models;Topology;Monitoring","","1","","53","","16 Dec 2025","June 2021","","ZUP","ZUP Journals"
"Evaluation of Distance Error with Bluetooth Low Energy Transmission Model for Indoor Positioning","P. Supanakoon; S. Promwong","Department of Telecommunications Engineering, School of Engineering, King Mongkut's Institute of Technology Ladkrabang, Thailand; Department of Telecommunications Engineering, School of Engineering, King Mongkut's Institute of Technology Ladkrabang, Thailand",Journal of Mobile Multimedia,"16 Jul 2025","2021","17","4","707","722","Currently, an indoor positioning is a challenge application for location-based services (LBS) and proximity-based services (PBS). However, the indoor channel has dense multipath fading, causing more distance error than outdoor positioning. In this paper, the distance error analysis model is proposed for indoor positioning. The indoor channel is modeled as the sum of path loss model and multipath fading model. The path loss model is a linear regression model (LRM) based on Friis' transmission formula, used for estimating the distance from received signal strength (RSS). The multipath fading is a Gaussian statistical model with zero mean, used for characterizing the multipath fading effect. The normalized distance error is evaluated and defined. The indoor channel with Bluetooth low energy (BLE) beacons is measured and compared with the proposed model. From the results, the normalized distance error obtained from the proposed model corresponds very well to measurement. This proposed model can be used as a tool for designing an indoor positioning system to obtain the specific distance error.","1550-4654","","10.13052/jmm1550-4646.17411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081855","Distance error;indoor positioning;Bluetooth low energy (BLE) beacon;location-based service (LBS);linear regression model (LRM)","Fading channels;Analytical models;Error analysis;Measurement uncertainty;Linear regression;Propagation losses;Time measurement;Bluetooth Low Energy;Indoor positioning systems;Standards","","1","","20","","16 Jul 2025","October 2021","","River Publishers","River Publishers Journals"
"A Multipurpose Mobile Manipulator for Autonomous Firefighting and Construction of Outdoor Structures","M. Basiri; J. Gonçalves; J. Rosa; R. Bettencourt; A. Vale; P. Lima","Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Instituto de Plasmas e Fusão Nuclear, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Institute for Systems and Robotics, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal",Field Robotics,"25 Feb 2025","2021","1","","1","25","This paper describes the implementation of a multipurpose, autonomous, mobile manipulator for building outdoor structures and for firefighting. Such a system finds applications in different industrial automation, manufacturing, and civil-construction scenarios as well as in search-and-rescue operations. This system was developed for the Mohamed Bin Zayed International Robotics Challenge (MBZIRC) 2020, showcasing once again the role of major scientific competitions in advancing the state of the art and exploring solutions to open problems. The paper presents in detail the hardware and software architectures of the developed mobile manipulator, while proposing methods for: a) Building outdoor structures consisting of heterogeneous brick patterns, and b) Entering buildings to locate and extinguish fires. Solutions were successfully deployed in the near-realistic arenas of the MBZIRC 2020 competition and resulted in the first-place award for the firefighting scenario.","2771-3989","","10.55417/fr.2021004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10878397","mobile manipulation;emergency response;construction automation;wheeled robots;firefighting robot;MBZIRC","Robots;Manipulators;Buildings;Robot sensing systems;Mobile robots;Service robots;Floors;Disasters;Autonomous aerial vehicles;Color","","2","","","CCBY","25 Feb 2025","Oct. 2021","","FRPS","FRPS Journals"
"An area optimization based cooperative localization algorithm with node selection","K. Han; C. Zhang; H. Xing; Y. Xu","School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications, Beijing, China",China Communications,"29 Dec 2021","2021","18","12","178","195","In recent years, position information has become a key feature to drive location and context aware services in mobile communication. Researchers from all over the world have proposed many solutions for indoor positioning over the past several years. However, due to weak signals, multipath or non-line-of-sight signal propagation, accurately and efficiently localizing targets in harsh indoor environments remains a challenging problem. To improve the performance in harsh environment with insufficient anchors, cooperative localization has emerged. In this paper, a novel cooperative localization algorithm, named area optimization and node selection based sum-product algorithm over a wireless network (AN-SPAWN), is described and analyzed. To alleviate the high computational complexity and build optimized cooperative cluster, a node selection method is designed for the cooperative localization algorithm. Numerical experiment results indicate that our proposed algorithm has a higher accuracy and is less impacted by NLOS errors than other conventional cooperative localization algorithms in the harsh indoor environments.","1673-5447","","10.23919/JCC.2021.12.011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9665393","cooperative localization;node selection;PDR;indoor localization","Location awareness;Peer-to-peer computing;Complexity theory;Clustering algorithms;5G mobile communication;Maximum likelihood estimation;Synchronization","","2","","","","29 Dec 2021","Dec. 2021","","IEEE","IEEE Magazines"
"Channel Diversity for Indoor Localization Using Bluetooth Low Energy and Extended Advertisements","M. Nikodem; P. Szeliński","Department of Computer Engineering, Wrocław University of Science and Technology, Wrocław, Poland; Department of Computer Engineering, Wrocław University of Science and Technology, Wrocław, Poland",IEEE Access,"31 Dec 2021","2021","9","","169261","169269","Bluetooth Low Energy (BLE) is a ubiquitous low-power communication technology used in many applications including location-based services. Typically, in BLE localization, the beacons transmit advertisement messages while moving devices infer their location from radio signal strength measurements. Previous work has noted that three radio channels used for advertisement transmission exhibit different propagation conditions including frequency dependent shadowing and multipath. Because most of the consumer electronic devices report only the measured signal strength value without the number of a channel in which it was measured, the variance of the measurements increases and adversely affects the accuracy of localization. Information on the channel used can improve the localization accuracy, however, the existing approaches are limited to three advertisement channels, ignoring the remaining 37 channels available in BLE communication. This article analyses the impact of channel diversity on the accuracy of BLE-based indoor localization. In contrast to previous work, we use signal strength measurements from all 40 channels and show that channel diversity can significantly improve the localization accuracy. Experiments conducted in 100m2 office area show that using signal strength measurements in 40 channels improves the average localization accuracy by approximately 50% and 20% compared to the use of 3 channels without and with information on the channel used, respectively. Overhead of the proposed method can be reduced through careful selection of the radio channels used in measurements. We propose a channel selection method which allows to significantly improve the localization accuracy using measurements collected from between 10 and 15 channels.","2169-3536","","10.1109/ACCESS.2021.3137849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9661373","Bluetooth low energy;extended advertising;communication channels;indoor radio communication;localization","Location awareness;Channel estimation;Bluetooth;Advertising;Volume measurement;Semiconductor device measurement;Received signal strength indicator","","34","","19","CCBY","23 Dec 2021","2021","","IEEE","IEEE Journals"
"Tightly Coupling Fusion of UWB Ranging and IMU Pedestrian Dead Reckoning for Indoor Localization","R. Ali; R. Liu; A. Nayyar; B. Qureshi; Z. Cao","School of Information Engineering, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, China; Graduate School, Duy Tan University, Da Nang, Vietnam; Department of Computer Science, Prince Sultan University, Riyadh, Saudi Arabia; School of Information Engineering, Southwest University of Science and Technology, Mianyang, China",IEEE Access,"17 Dec 2021","2021","9","","164206","164222","Ultra-wideband (UWB) and inertial measurement unit (IMU) fusion is an efficient method to resolve the uncertainties of UWB in non-line-of-sight (NLOS) situations because of signals refraction, the effect of multipath and inertial positioning error accumulation in indoor environments. Existing systems, however, are focused only on foot-mounted IMUs that restrict the system’s implementation to particular real situations. In this research, using foot-mounted IMU, we suggest combining UWB ranging and IMU pedestrian dead reckoning (PDR), which can provide a generic indoor positioning solution. The issues such as position and orientation drift, interferences and divergence in strap-down inertial navigation system (SINS) based orientation estimates could be addressed by a UWB ranging sensor fusing with an IMU using the extended Kalman filter (EKF). The main goal of this research is to investigate and compare two different sensor data fusion techniques. For instance, adaptive Kalman filter (AKF) and least-squares (LSs) incorporate a foot-mounted IMU tightly coupled to a 2D pedestrian positioning solution derived from UWB signals. Moreover, we consider the UWB NLOS and IMU error identification. A real-time ranging error compensation model based on the LS method and AKF positioning algorithm are used for fixing such problems. We propose a new tightly coupled inertial navigation system (INS) with a two-way ranging (TWR) fusion positioning algorithm to improve accuracy, integrating UWB and IMU sensors based on the EKF in pedestrian navigation. Experiments in dynamic indoor environment validate the effectiveness of the proposed approach that uses EKF to combine AKF and LS for error minimization.","2169-3536","","10.1109/ACCESS.2021.3132645","Robotics and Internet of Things Laboratory, Prince Sultan University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635776","Foot-mounted IMU;pedestrian;indoor navigation;EKF;tightly coupling;UWB","Navigation;Couplings;Kalman filters;Estimation;Distance measurement;Data integration;Wireless communication","","57","","57","CCBY","3 Dec 2021","2021","","IEEE","IEEE Journals"
"A Novel Approach for User Equipment Indoor/Outdoor Classification in Mobile Networks","P. Alves; T. Saraiva; M. Barandas; D. Duarte; D. Moreira; R. Santos; R. Leonardo; H. Gamboa; P. Vieira","Associação Fraunhofer Portugal Research, Porto, Portugal; Consultoria em Telecomunicações, Celfinet, Cruz Quebrada, Portugal; Associação Fraunhofer Portugal Research, Porto, Portugal; Consultoria em Telecomunicações, Celfinet, Cruz Quebrada, Portugal; Associação Fraunhofer Portugal Research, Porto, Portugal; Associação Fraunhofer Portugal Research, Porto, Portugal; Associação Fraunhofer Portugal Research, Porto, Portugal; Associação Fraunhofer Portugal Research, Porto, Portugal; Instituto Superior de Engenharia de Lisboa (ISEL), Lisboa, Portugal",IEEE Access,"15 Dec 2021","2021","9","","162671","162686","The ability to locate users and estimate traffic in mobile networks is still one of the major challenges when it comes to planning and optimizing the networks. Since indoor location is not always possible or precise, having the ability to distinguish indoor from outdoor traffic can be a valuable alternative and/or improvement. In this paper, two different machine learning algorithms are presented to classify a user’s environment, whether indoor or outdoor, using only data from a Long Term Evolution (LTE) network. To test both algorithms, two different measurement campaigns were done. Both campaigns used a smartphone to gather data from the user’s side. The first measurement campaign was done across 6 different cities, ranging from small rural areas to large urban environments, while the second was only done on a large urban city. On the second campaign, Network Traces (NT) data was also collected from the network side. The first algorithm consists on a Random Forest (RF) and the second relies on a Long Short Term Memory (LSTM), thus covering both more traditional machine learning and deep learning approaches. The results varied from 0.75 to 0.91 on the F1-Score, depending on the validation strategy, showing promising results.","2169-3536","","10.1109/ACCESS.2021.3130429","Geolocation Non-Assisted by GPS for Mobile Networks in Indoor and Outdoor Environment (GARMIO); Portugal 2020, framed under the COMPETE 2020 (Operational Programme Competitiveness and Internationalization); European Regional Development Fund (ERDF) from European Union (EU)(grant numbers:POCI-01-0247-FEDER-033479); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9626002","Indoor outdoor detection;machine learning algorithms;long term evolution;measurement campaigns;smartphone;network traces","Machine learning algorithms;Buildings;Urban areas;Planning;Global Positioning System;Pollution measurement;Long Term Evolution","","8","","29","CCBYNCND","23 Nov 2021","2021","","IEEE","IEEE Journals"
"An Introduction to Optical Wireless Mobile Communications","H. Haas; M. S. Islim; C. Chen; H. Abumarshoud",NA; NA; NA; NA,An Introduction to Optical Wireless Mobile Communications,"","2021","","","","","The use of the optical spectrum for wireless communications has gained significant interest in recent years. Applications range from low-rate simplex transmission links using existing embedded CMOS cameras in smartphones, referred to as optical camera communications (OCC), mobile light fidelity (LiFi) networking in homes, offices, urban and sub-sea environments to free-space gigabit interconnects in data centers and point-to-point long-range wireless backhaul links outdoors and in space. This exciting book focuses on the use of optical wireless communications (OWC) for mobile use cases. The book discusses existing conventional radio frequency (RF)-based wireless access technology and presents the challenges that can impact the requirements of the future wave of new wireless services in the context of artificial intelligence (AI) driven autonomous systems and machine-type communications. The relationship between visible light communications (VLC) and light fidelity (LiFi), is explored, and the major advantages of VLC and LiFi such as security and data density, and discuss existing research challenges are also introduced. Channel modeling techniques are provided for mobile multiuser scenarios, and will introduce key building blocks to achieve LiFi cellular networks achieving orders of magnitude improvements of area spectral efficiency compared to state-of-the-art. Challenges that arise from moving from a static point-to-point visible light link to a LiFi network that is capable of serving hundreds of mobile and fixed nodes are discussed. An overview of recent standardization activities and the commercialization challenges of this disruptive technology is also provided.","","9781630816568","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9623355.pdf&bkn=9623355&pdfType=book","","","","","","","","22 Nov 2021","","","Artech","Artech Books"
"Experimental Study of Smoothing Modifications of the MUSIC Algorithm for Direction of Arrival Estimation in Indoor Environments","V. Molodtsov; A. Kureev; E. Khorov","Wireless Networks Laboratory, Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, Russia; Wireless Networks Laboratory, Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, Russia; Wireless Networks Laboratory, Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, Russia",IEEE Access,"23 Nov 2021","2021","9","","153767","153774","Nowadays, the Direction of Arrival (DoA) estimation problem attracts much attention because of emerging use cases for wireless networks. DoA is beneficial for Reconfigurable Intelligent Surfaces, indoor localization, and various navigation and sensing applications, such as gesture recognition and home monitoring. The Multiple Signal Classification (MUSIC) algorithm is very promising for DoA estimation because it provides better accuracy than the other algorithms and remains simple enough to implement in hardware. MUSIC has many modifications designed to achieve better accuracy in indoor environments by combining and smoothing several measurements. However, such modifications have been implemented in equipment with different capabilities. Consequently, the modifications have never been compared under identical conditions. The paper addresses this issue, provides a classification of existing smoothing modifications of MUSIC, and proposes new ones not considered in the literature yet. All of them are compared in real Wi-Fi networks. For that, a testbed is designed that allows automatic measurements in multiple experiments with different positions of devices. A new calibration procedure is created to achieve higher accuracy, and the testbed is validated in an anechoic chamber. Finally, the paper suggests the preferable smoothing modifications of MUSIC for finding the DoA.","2169-3536","","10.1109/ACCESS.2021.3127861","Basic Research Program of the National Research University Higher School of Economics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9614137","Direction of arrival estimation;MUSIC;smoothing;Wi-Fi;5G;6G;multipath propagation;indoor localization","Multiple signal classification;Smoothing methods;Direction-of-arrival estimation;Estimation;Wireless fidelity;Correlation;Classification algorithms","","10","","33","CCBY","12 Nov 2021","2021","","IEEE","IEEE Journals"
