"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"High-Precision Wireless Indoor Localization via Weight-Learning Ensemble Support Vector Regression","Y. -K. Cheng; H. -J. Chou; R. Y. Chang",NA; NA; NA,2015 IEEE 82nd Vehicular Technology Conference (VTC2015-Fall),"25 Apr 2022","2015","","","1","5","This paper considers the wireless indoor localization problem and aims at improving the localization precision for advanced medical and industrial applications. We propose an enhanced machine learning approach based on the support vector regression (SVR) model, with the received signal strength indicator (RSSI) values as features. The proposed method incorporates the ensemble learning concept and a new weight assignment scheme for ensemble learning. Numerical results demonstrate improved prediction performance of the proposed scheme in comparison with common machine learning techniques for localization such as artificial neural network (ANN), k-nearest neighbor (k-NN), and conventional SVR in simulated indoor environments.","","978-1-4799-8091-8","10.1109/VTCFall.2015.7390966","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7390966","","Training data;Predictive models;Yttrium;Training;Artificial neural networks;Data models;Wireless sensor networks","","","","","IEEE","25 Apr 2022","6-9 Sept. 2015","6-9 Sept. 2015","IEEE","IEEE Conferences"
"Angle fingerprint: A database-driven method for indoor localization","Ze Zheng; Guoru Ding","College of Communications Engineering, PLA University of Science and Technology, Nanjing, China; College of Communications Engineering, PLA University of Science and Technology, Nanjing, China",2015 IEEE/CIC International Conference on Communications in China - Workshops (CIC/ICCC),"29 Jun 2017","2015","","","72","77","The main purpose of this paper is to propose a different fingerprint method for indoor localization, which we named angle fingerprint. Received Signal Strength Indicator (RSSI) is always used for traditional fingerprint method, which is often inaccurate resulting from human behavior, such as human presence and movement. However, Received Signal Strength (RSS) fading and attenuation will almost not affect angle measurement utilizing multi-antenna. In this paper, firstly we introduce the idea of angle fingerprint. Then, we discuss the border distortion appearing in angle fingerprint, which may introduce inaccuracy if utilizing traditional minimum Euclidean distance method (MED). An improved localization scheme, grid lock (GL), is proposed in the following part. Related simulation shows that the accuracy of GL improves about 20% compared to traditional MED.","2474-9133","978-1-4673-9701-8","10.1109/ICCChinaW.2015.7961583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961583","indoor localization;angle fingerprint;database-driven","Fingerprint recognition;Antenna arrays;Databases;Distortion;Antenna measurements;Euclidean distance;Conferences","","","","13","IEEE","29 Jun 2017","2-4 Nov. 2015","2-4 Nov. 2015","IEEE","IEEE Conferences"
"Performance evaluation of RSS-based WSN indoor localization scheme using artificial neural network schemes","A. Ibrahim; S. K. A. Rahim; H. Mohamad","Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Malaysia",2015 IEEE 12th Malaysia International Conference on Communications (MICC),"31 Oct 2016","2015","","","300","305","A popular way of achieving WSN localization is through measurements and evaluation of Received Signal Strength (RSS) values of the signal transmitted by target mobile nodes. However, indoor localization presents a greater challenge due to occurrences of more severe propagation behaviors depending on the parameters of the environment. Artificial Neural Network (ANN) presents a method of adaptive processing of location specific non-linear indoor signal propagation. This paper evaluates the performance of three different methods of ANN family for indoor localization scheme. Data from the simulated propagation model are preprocessed into median, average, min and max values providing a strategic pattern to feed as inputs into the ANNs. The performance of location predicted with Elman Backpropagation (EB), Cascade-Forward Backpropagation (CFB) and Feedforward Backpropagation (FFB) show root mean square error (RMSE) of 0.4991m, 0.5257m and 0.6506m respectively with distance range of 100m.","","978-1-5090-0019-7","10.1109/MICC.2015.7725451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7725451","Indoor localization;Received Signal Strength;Artificial Neural Networks;Root Mean Square Error","Backpropagation;Biological neural networks;Mathematical model;Wireless sensor networks;Artificial neural networks;Wireless communication;Shadow mapping","","8","","23","IEEE","31 Oct 2016","23-25 Nov. 2015","23-25 Nov. 2015","IEEE","IEEE Conferences"
"Local Area Positioning System (LAPS) for Indoor Navigation System","Y. M. Akbar; I. Riyanto","Dept. of Electrical Engineering, Budi Luhur University, Jakarta, Indonesia; Dept. of Electrical Engineering, Budi Luhur University, Jakarta, Indonesia",2015 9th Asia Modelling Symposium (AMS),"31 Oct 2016","2015","","","137","141","This project will design Local Area Positioning System (LAPS) to improve the efficiency of electricity usage. The system consist of software which will be installed in Android smart phone, wireless access point as reference nodes to do position calculation, and controller unit on the simulator. The expected efficiency will be in the form of dimming the room lighting where there are no people present. The program on Android smart phone will read the received signal strength (RSSI) from wireless access point (at least three) and then calculate the position by using trilateration method. As one of the application of Local Area Positioning System, the calculated position will be sent to the controller unit, the system will control light bulb's intensity by using dimmer. By tracking the users' position to dim the light bulbs, electricity efficiency is up to 45%.","2376-1172","978-1-4673-8323-3","10.1109/AMS.2015.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7725311","Local Area Positioning System;electricity efficiency;Wireless Access Point;Trilateration","Electrical engineering;Asia;Wireless communication;Control systems;Software;Algorithm design and analysis;Software algorithms","","1","","7","IEEE","31 Oct 2016","7-9 Sept. 2015","7-9 Sept. 2015","IEEE","IEEE Conferences"
"A testbed for device free indoor localization system","N. Pirzada; M. Y. Nayan; M. Fadzil; F. Subhan","Department of Computer Science and Information Sciences, Universiti Teknolozi PETRONAS, Malaysia; Department of Computer Science and Information Sciences, Universiti Teknolozi PETRONAS, Malaysia; Department of Computer Science and Information Sciences, Universiti Teknolozi PETRONAS, Malaysia; Department of Computer Sciences, National University of Modern Languages-NUML, Islamabad, Pakistan",2015 International Symposium on Mathematical Sciences and Computing Research (iSMSC),"20 Oct 2016","2015","","","116","120","Based on wireless sensor networks, device-free indoor localization technique has received much attenuation in the field of indoor localization systems. Due to different indoor environmental parameters, multi-path fading, human presences and different system configurations, the WiFi-based received signal strength indicator (RSSI) values are effected. This paper elaborates on the development of a wireless network test-bed to measure the Received Signal Strength Indicator (RSSI) in different environments, as the first step for the application of fingerprinting-type localization algorithms of wireless LAN devices. This paper shows how the environment for RSSI measurement is built and what network configurations yield the most reliable measurements. In the first phase of building a test-bed, configurations of off-the-shelf-equipment and the corresponding applications are explained. The second phase is to measure the RSSI in different propagation and physical environments. In this phase, different environments that have already been built in the first phase are examined. The signal strength is the only information we get from the APs that is usable for the localization process. An “RF sensor” network can monitor RSS values on links in the network and perform device-free localization, i.e., locating a person or object moving in the area in which the network is deployed. Experimental tests reported here and in past literature are shown to validate the analysis.","","978-1-4799-7896-0","10.1109/ISMSC.2015.7594038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7594038","","Indoor environments;Wireless sensor networks;Wireless communication;Received signal strength indicator;Buildings;Radio frequency;Fading channels","","2","","19","IEEE","20 Oct 2016","19-20 May 2015","19-20 May 2015","IEEE","IEEE Conferences"
"Active RFID-based Indoor Positioning System (IPS) for industrial environment","A. A. W. Ab Razak; F. Samsuri","Faculty of Electrical Engineering, Universiti Malaysia Pahang, Pekan, Pahang, MY; Faculty of Electrical Engineering, Universiti Malaysia Pahang, Pekan, Pahang, MY",2015 IEEE International RF and Microwave Conference (RFM),"13 Oct 2016","2015","","","89","91","This paper proposes an active RFID-based indoor positioning system (IPS) for an industrial environment. The system is quite similar to Global positioning system (GPS). However, GPS can only work if the device is discovered by satellite. This work is to overcome the weakness of GPS capability for tracking an object that did not receive a satellite signal. The methods, technique and technology of tracking system have also been discussed in this paper. However, the work mostly focuses on Time of Arrival (ToA) and Received Signal Strength Indicator (RSSI) technique. Each technique has their own deficiency. Several step is done such as relate both methods to overcome that deficiency. Ultra-High Frequency (UHF) RFID are used in this development of IPS.","","978-1-4673-8170-3","10.1109/RFM.2015.7587719","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7587719","RFID;IPS;ToA;RSSI;SHF","Transceivers;Receivers;Global Positioning System;Transmitters;IP networks;Satellites;Time measurement","","7","","5","IEEE","13 Oct 2016","14-16 Dec. 2015","14-16 Dec. 2015","IEEE","IEEE Conferences"
"Passive Indoor Positioning System (PIPS) Using Near Field Communication (NFC) Technology","S. Tang; B. Tok; M. Hanneghan","Department of Computer Science, Liverpool John Moores University, Liverpool, UK; Department of Computer Science, Liverpool John Moores University, Liverpool, UK; Department of Computer Science, Liverpool John Moores University, Liverpool, UK",2015 International Conference on Developments of E-Systems Engineering (DeSE),"12 Sep 2016","2015","","","150","155","Travel can be an enjoyable experience but it can also be stressful when one is unable to get to the destination in timely manner. Satellite navigation systems (satnav) such as the ubiquitous Global Positioning System (GPS) provide an aid to locating unfamiliar places without hassle. However, the effectiveness of satnav stops at the doorstep of the building due to its requirement for line of sight with orbiting satellites. Within a large complex building, navigation typically relies on building signage, information from kiosks and getting assistance from information desks. The advancement of mobile devices and wireless technology offer an interesting proposition for the development of indoor positioning systems. In this paper, we propose a passive indoor positioning system to provide navigational aid and discuss findings from our pilot experiment using NFC technology.","","978-1-5090-1861-1","10.1109/DeSE.2015.48","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7563630","Passive Indoor Positioning System;Positioning System;Mobile Application;Mobile Technologies;NFC Technologies","Buildings;Mobile handsets;Global Positioning System;Mobile communication;Wireless communication;Internet of things","","2","","29","IEEE","12 Sep 2016","13-14 Dec. 2015","13-14 Dec. 2015","IEEE","IEEE Conferences"
"Message Passing Clustering Technique: A Review","S. Yadav; D. Singh",Dept of CSE BUIT Bhopal; Dept of CSE BUIT Bhopal,2015 International Conference on Computational Intelligence and Communication Networks (CICN),"18 Aug 2016","2015","","","929","933","Clustering is grouping similar data items, features, observations etc. In to cluster. Clustering Problem has been addressed many times as it is one of the important step in data analysis in various application areas. This paper presents an overview of message passing data clustering technique with a goal of providing useful concepts which can be accessible to the community of clustering practitioners. Message passing clustering technique, its extensions, improvisation and usage in different application areas and recent advances are described.","2472-7555","978-1-5090-0076-0","10.1109/CICN.2015.182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7546231","Cluster analysis;Affinity propagation","Clustering algorithms;Algorithm design and analysis;Heuristic algorithms;Search problems;Message passing;Fingerprint recognition;Classification algorithms","","","","11","IEEE","18 Aug 2016","12-14 Dec. 2015","12-14 Dec. 2015","IEEE","IEEE Conferences"
"Implementation of radio tomographic imaging based localisation using a 6LoWPAN wireless sensor network","V. Smallbon; T. Potie; M. D'Souza; A. Postula; M. Ros","University of Queensland, Brisbane, QLD, AU; University of Queensland, Brisbane, QLD, AU; University of Queensland, Brisbane, QLD, AU; University of Queensland, Brisbane, QLD, AU; University of Wollongong, Wollongong, NSW, AU",2015 12th International Joint Conference on e-Business and Telecommunications (ICETE),"21 Jul 2016","2015","06","","27","32","Mobile localisation has numerous uses for logistics, health, sport and social networking applications. Current wireless localisation systems typically require the use of tracking devices to be worn or implanted. The use of tracking devices can hinder the types applications that can be used. Wireless localisation use wireless channel propagation characteristics, such as RF receive signal strength to localise a user's position, which requires the use of complex radio hardware. We developed a wireless tracking system using radio tomographic imaging to track people without wearing a mobile tracking device. We evaluated our wireless localisation network with users in an indoor environment. Our localisation network used the 6LoWPAN wireless communications protocol.","","978-9-8975-8140-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518153","Wireless Sensor Networks;Radio Tomographic Imaging;Indoor Localisation","Wireless sensor networks;Attenuation;Tomography;Wireless communication;Histograms;Protocols;Communication system security","","","","15","","21 Jul 2016","20-22 July 2015","20-22 July 2015","IEEE","IEEE Conferences"
"Indoor localization of the points of interest using RO-SLAM","Y. Rodríguez Esteves; J. Barbancho Concejero; A. Viguria Jiménez","FADA-CATEC - Center for Advanced Aerospace Technologies, Seville, Spain; University of Seville, Seville, Spain; FADA-CATEC - Center for Advanced Aerospace Technologies, Seville, Spain",2015 12th International Joint Conference on e-Business and Telecommunications (ICETE),"21 Jul 2016","2015","01","","35","42","This paper describes an indoor localization system based on RO-SLAM technique, which has been led to experimentation. The proposed system has been considered to have low power consumption. The nodes of the network are based on the well-known architecture TelosB. A distance estimation study has been developed in order to determine the relationship between radio power signal strength in a radio link and distance between nodes. This relationship has a high variability and given its importance for successful tracking, much of this work has been devoted to its study. This system could be applied as a usefull solution for localization in a warehouse, where GPS-based system does not work. Based on the results obtained, this system is deemed as feasible because the motes have been localized with an acceptable error (1.2 m) under real conditions.","","978-9-8975-8140-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7517858","RO-SLAM;Beacons;Indoor Localization;RSSI;Sensor Network","Simultaneous localization and mapping;Estimation;Frequency measurement;Mobile communication;Radio link","","","","16","","21 Jul 2016","20-22 July 2015","20-22 July 2015","IEEE","IEEE Conferences"
